Symbol,PeriodType,MarketCap,FowardPeRatio,PeRatio,PegRatio,PsRatio,PbRatio,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio
LZ,2024-03-31 00:00:00,2507030155.0,nan,190.571429,nan,3.925216,14.92349,2290329155.0,38.1327,3.4664
LZ,2023-12-31 00:00:00,2123654798.0,29.4985,282.5,nan,3.384752,14.459417,1921122798.0,42.191,2.9615
LZ,2023-09-30 00:00:00,nan,28.5714,nan,nan,nan,nan,nan,nan,nan
LZ,2023-06-30 00:00:00,nan,34.6021,nan,nan,nan,nan,nan,nan,nan
LYV,TTM,29469218374.0,45.8716,46.536496,4.1026,1.301511,170.083736,31645535374.0,19.5908,1.3666
LYV,2024-12-31 00:00:00,30350103682.0,68.0272,145.505618,4.6561,1.286165,105.394747,33049008682.0,18.7558,1.4175
LYV,2024-09-30 00:00:00,25246787781.0,65.7895,99.536364,4.8353,1.065497,nan,26879371781.0,15.0313,1.1287
LYV,2024-06-30 00:00:00,21695426324.0,65.3595,86.0,2.241,0.925762,nan,23214939324.0,13.6107,0.9912
LYV,2024-03-31 00:00:00,24411473152.0,66.2252,77.20438,2.0403,1.073911,nan,26617531152.0,15.11,1.17
LYV,2023-12-31 00:00:00,21558453696.0,47.619,62.4,0.8804,1.007497,98.476106,24030666696.0,13.9338,1.1335
LYG,TTM,55339787685.0,9.3809,11.892621,2.0393,2.499981,0.976822,nan,nan,3.3076
LYG,2024-12-31 00:00:00,41579985385.0,7.7399,7.853961,1.683,1.819279,0.709633,nan,nan,6.1097
LYG,2024-09-30 00:00:00,48329473496.0,7.9936,8.326689,1.7373,1.990065,0.797483,nan,nan,3.1249
LYG,2024-06-30 00:00:00,43213162430.0,8.4531,7.71068,1.8369,1.865395,0.707817,nan,nan,4.0
LYG,2024-03-31 00:00:00,41592073117.0,7.326,6.753016,1.7866,1.811689,0.692659,nan,nan,3.6648
LYG,2023-12-31 00:00:00,38614705149.0,5.9418,4.992449,nan,2.677896,0.665412,nan,nan,3.9144
